"name", "rule"
"spam1", "(?i)(ninja)"
"spam2", "(?i)(concerning)"
"spam3", "(?i)(videos)"
"spam4", "(?i)(visitors)"
"spam5", "(?i)(guest)"
"spam6", "(?i)(great\ article)"
"spam7", "(?i)(video)"
"spam8", "(?i)(leaky\ bucket)"
"spam9", "(?i)(newsletters)"
"spam10", "(?i)(boost\ your\ site)"
"spam11", "(?i)(i\ was\ visiting)"
"spam12", "(?i)(100x)"
"spam13", "(?i)(conversions)"
"spam14", "(?i)(don\'t\ miss\ this)"
"spam15", "(?i)(offer)"
"spam16", "(?i)(offers)"
"spam17", "(?i)(so\ good\,\ you\ won\'t\ believe\ it)"
"spam18", "(?i)(organize\ for\ you)"
"spam19", "(?i)(traffic)"
"spam20", "(?i)(organic)"
"spam21", "(?i)(free)"
"spam22", "(?i)(important\ information)"
"spam23", "(?i)(are\ you\ offering)"
"spam24", "(?i)(very\ important\ news)"
"spam25", "(?i)(window\ of\ opportunity)"
"spam26", "(?i)(advertising)"
"spam27", "(?i)(advertisers)"
"spam28", "(?i)(ad)"
"spam29", "(?i)(ads)"
"spam30", "(?i)(bots)"
"spam31", "(?i)(bot)"
"spam32", "(?i)(buy)"
"spam33", "(?i)(roi)"
"spam34", "(?i)(urgent)"
"spam35", "(?i)(inquiry)"
"spam36", "(?i)(rank)"
"spam37", "(?i)(hack)"
"spam38", "(?i)(google)"
"spam39", "(?i)(sales)"
"spam40", "(?i)(sale)"
"spam41", "(?i)(double)"
"spam42", "(?i)(web\ design\ \&\ development)"
"spam43", "(?i)(loan)"
"spam44", "(?i)(loans)"
"spam45", "(?i)(new\ business)"
"spam46", "(?i)(weapon)"
"spam47", "(?i)(weapons)"
"spam48", "(?i)(funding)"
"spam49", "(?i)(fund)"
"spam50", "(?i)(funds)"
"spam51", "(?i)(belly)"
"spam52", "(?i)(weight)"
"spam53", "(?i)(promote)"
"spam54", "(?i)(promoting)"
"spam55", "(?i)(promotes)"
"spam56", "(?i)(cost)"
"spam57", "(?i)(collateral)"
"spam58", "(?i)(drink)"
"spam59", "(?i)(retention)"
"spam60", "(?i)(views)"
"spam61", "(?i)(youtube)"
"spam62", "(?i)(likes)"
"spam63", "(?i)(have\ you\ checked\ this\ yet)"
"spam64", "(?i)(electronic\ engineering\ and\ manufacturing)"
"spam65", "(?i)(very\ important\ news)"
"spam66", "(?i)(solid\ news\ programme)"
"spam67", "(?i)(cheap)"
"spam68", "(?i)(interesting\ article)"
"spam69", "(?i)(you\ deserve\ more\ clients)"
"spam70", "(?i)(bitcoin)"
"spam71", "(?i)(please\,\ pay\ attantion)"
"spam72", "(?i)(100k\/mo)"
"spam73", "(?i)(secret)"
"spam74", "(?i)(delivery\ of\ your\ email\ messages)"
"spam75", "(?i)(niceoffers)"
"spam76", "(?i)(are\ you\ in)"
"spam77", "(?i)(nice\ offers)"
"spam78", "(?i)(offers)"
"spam79", "(?i)(offer)"
"spam80", "(?i)(present)"
"spam81", "(?i)(gift)"
"spam82", "(?i)(look\ what\ we\ arrange)"
"spam83", "(?i)(generate\ more\ revenue)"
"spam84", "(?i)(regarding\ reviews)"
"spam85", "(?i)(get\ paid\ to)"
"spam86", "(?i)(watch\ movies)"
"spam87", "(?i)(wrinkles)"
"spam88", "(?i)(face)"
"spam89", "(?i)(alexa)"
"spam90", "(?i)(webinars)"
"spam91", "(?i)(make\ sales)"
"spam92", "(?i)(seo)"
"spam93", "(?i)(a\ quick\ trip\ to\ a\ tomorrow\ of\ your\ dreams)"
"spam94", "(?i)(test\ mailing)"
"spam95", "(?i)(cash)"
"spam96", "(?i)(prize)"
"spam97", "(?i)(victory)"
"spam98", "(?i)(quantum)"
"spam99", "(?i)(brand\ new)"
"spam100", "(?i)(uncover\ phone\ number\ information)"
"spam101", "(?i)(need\ to\ ask)"
"spam102", "(?i)(for\ your\ team)"
"spam103", "(?i)(action\ for\ profit)"
"spam104", "(?i)(video\ maker)"
"spam105", "(?i)(could\ you\ be\ holding\ the\ future)"
"spam106", "(?i)(delivery\ of\ your\ email\ messages)"
"spam107", "(?i)(marketing)"
"spam108", "(?i)(famous)"
"spam109", "(?i)(instagram)"
"spam110", "(?i)(affiliate)"
"spam111", "(?i)(notice)"
"spam112", "(?i)(2x)"
"spam113", "(?i)(results)"
"spam114", "(?i)(free\ test\ mailing)"
"spam115", "(?i)(mailing\ via\ the\ feedback\ form)"
"spam116", "(?i)(payday)"
"spam117", "(?i)(affiliates)"
"spam118", "(?i)(link\ exchange)"
"spam119", "(?i)(boost\ visibility)"
"spam120", "(?i)(just\ got\ easy)"
"spam121", "(?i)(crypto)"
"spam122", "(?i)(commerce)"
"spam123", "(?i)(i\ would\ like\ to\ purchase\ from\ you)"
"spam124", "(?i)(coin)"
"spam125", "(?i)(cryptocurrency)"
"spam126", "(?i)(cryptocurrencies)"
"spam127", "(?i)(engagement)"
"spam128", "(?i)(big\ fan\ of\ your\ website)"
"spam129", "(?i)(i\ have\ great\ news\ for\ you)"
"spam130", "(?i)(account)"
"spam131", "(?i)(generate\ more\ revenue)"
"spam132", "(?i)(it\'s\ all\ about\ perfect\ timing)"
"spam133", "(?i)(reimbursement)"
"spam134", "(?i)(representing\ you)"
"spam135", "(?i)(how\ you\ can\ do\ better)"
"spam136", "(?i)(contact)"
"spam137", "(?i)(usd)"
"spam138", "(?i)(google\ top\ ranking)"
"spam139", "(?i)(increase\ domain\ authority)"
"spam140", "(?i)(start\ seeing\ results)"
"spam141", "(?i)(here\ is\ an)"
"spam142", "(?i)(swap\ after\ you)"
"spam143", "(?i)(high\ quality\ video\ apps)"
"spam144", "(?i)(software\ deal)"
"spam145", "(?i)(unique\,\ animated\ personalities)"
"spam146", "(?i)(broken\ links\ update)"
"spam147", "(?i)(transfers)"
"spam148", "(?i)(international)"
"spam149", "(?i)(currency)"
"spam150", "(?i)(single\ payment)"
"spam151", "(?i)(save\ money\ on)"
"spam152", "(?i)(got\ fired\ then\ built\ a)"
"spam153", "(?i)(maxdrive)"
"spam154", "(?i)(host\ and\ manage\ unlimited\ files)"
"spam155", "(?i)(do\-follow)"
"spam156", "(?i)(backlink\ from\ amazon)"
"spam157", "(?i)(of\ web\ hosting\ for\ one\ time\ payment)"
"spam158", "(?i)(keto)"
"spam159", "(?i)(diet)"
"spam160", "(?i)(just\ one\ word)"
"spam161", "(?i)(monthly\ fees)"
"spam162", "(?i)(are\ you\ tired\ of)"
"spam163", "(?i)(paying)"
"spam164", "(?i)(pays)"
"spam165", "(?i)(pay)"
"spam166", "(?i)(paid)"
"spam167", "(?i)(targeted\ search)"
"spam168", "(?i)(guest\ post)"
"spam169", "(?i)(question\ for\ you)"
"spam170", "(?i)(exposed)"
"spam171", "(?i)(dropout)"
